brand,proxy_retailer_or_merchant,proxy_type,evidence_note
DEWALT,Screwfix,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
DEWALT,Toolstation,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
DEWALT,Travis Perkins,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
DEWALT,Jewson,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
DEWALT,CEF,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Milwaukee Tool,Screwfix,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Milwaukee Tool,Toolstation,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Milwaukee Tool,CEF,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,Screwfix,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,Travis Perkins,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,Jewson,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,Buildbase,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,Wolseley,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Makita,B&Q TradePoint,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Bosch Professional,Screwfix,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Bosch Professional,Toolstation,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Bosch Professional,Travis Perkins,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Bosch Professional,Jewson,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
Bosch Professional,CEF,Existing branch network already mapped in competitor store layer,"Use as distribution-access proxy, not as manufacturer-owned store evidence."
