competitor,category,threat_rationale,priority,official_source
Screwfix,"Trade counter / omnichannel tools, fixings and supplies","Dense UK trade-counter network, fast click-and-collect, strong price convenience for tradespeople",Very high,https://www.screwfix.com/help/aboutus/
Toolstation,"Trade counter / tools, accessories and building supplies","Large nationwide store estate, quick collection model, overlap in tools, fixings, consumables and trade essentials",Very high,https://www.toolstation.com/content/aboutus
Travis Perkins,Builders merchant,"Core merchant for builders and contractors, broad materials footprint and existing trade relationships",High,https://www.travisperkins.co.uk/branch-locator
Jewson,Builders merchant,"National branch network serving builders, contractors and trade accounts",High,https://www.jewson.co.uk/branch-finder/all-branches
Selco Builders Warehouse,Builders merchant / trade warehouse,"Trade-focused warehouses in urban construction markets with tools, fixings and building materials",High,https://www.selcobw.com/branches
Wolseley,"Plumbing, heating and infrastructure trade specialist","Specialist trade counters serving MEP and infrastructure contractors, adjacent to Hilti MEP/firestop demand",Medium,https://www.wolseley.co.uk/branch-locator
City Plumbing,Plumbing and heating trade specialist,Large trade branch footprint relevant to MEP contractors and site maintenance demand,Medium,https://www.cityplumbing.co.uk/branch-locator
Huws Gray,Builders merchant,Regional/national builders merchant footprint with trade customer accounts,Medium,https://www.huwsgray.co.uk/store-locator
Howdens,Trade depot / joinery and building products,Very dense trade depot model with strong builder and contractor relationships,Medium,https://www.howdens.com/find-a-depot
CEF,Electrical wholesaler,"Electrical contractor trade counters, overlap with construction site consumables and MEP contractor base",Medium,https://www.cef.co.uk/stores
YESSS Electrical,Electrical wholesaler,Electrical wholesaler branches serving contractors and installation trades,Medium,https://www.yesss.co.uk/store-finder
Edmundson Electrical,Electrical wholesaler,Electrical contractor relationships and branch-led account servicing,Medium,https://www.edmundson-electrical.co.uk/branches
MKM Building Supplies,Builders merchant,Expanding independent builders merchant network serving trade accounts,Medium,https://mkm.com/branches
Buildbase,Builders merchant,Builders merchant branches overlapping with construction trade customers,Medium,https://www.huwsgray.co.uk/store-locator
B&Q TradePoint,Trade counter / DIY-retail trade offer,"TradePoint serves builders, plumbers and electricians through B&Q estate; emerging standalone trade format",Emerging,https://www.trade-point.co.uk/
